unitid,insname,lat,long,endow1,endow2,enroll
238476,Carthage College,42.622893,-87.820706,80813222,84390973,2978
139287,Carver Bible College,33.7236,-84.515091,,,120
201645,Case Western Reserve University,41.500812,-81.605769,1758570000,1775999000,11340
198215,Catawba College,35.692445,-80.486575,53348000,56818000,1275
475398,Catholic Distance University,39.28763,-77.860321,,,
143659,Catholic Theological Union at Chicago,41.798059,-87.585772,23174773,22584728,375
131283,Catholic University of America,38.935796,-76.998961,297105251,319020221,6521
189848,Cazenovia College,42.931946,-75.854054,32207229,31256176,1072
211468,Cedar Crest College,40.586695,-75.519799,25979759,26687946,1591
201654,Cedarville University,39.750338,-83.812098,27074941,26812368,3654
158477,Centenary College of Louisiana,32.483004,-93.731518,137343822,138582054,588
183974,Centenary University,40.848693,-74.832775,10479011,10603215,2284
106713,Central Baptist College,35.084574,-92.444102,2736455,2764070,881
154837,Central Baptist Theological Seminary,39.009412,-94.838449,,,359
154855,Central Christian College of Kansas,38.357964,-97.667373,5549240,5427575,1369
176910,Central Christian College of the Bible,39.395963,-92.427259,993400,1052995,271
153108,Central College,41.400236,-92.918664,79887626,78540803,1274
445267,Central Methodist University-College of Graduate and Extended Studies,39.150383,-92.686156,,,4516
176947,Central Methodist University-College of Liberal Arts and Sciences,39.150534,-92.685276,37020000,35787000,1094
488004,Central Yeshiva Beth Joseph,,,,,
189857,Central Yeshiva Tomchei Tmimim Lubavitz,40.627852,-73.970807,,,641
156408,Centre College,37.645102,-84.779175,267165187,285886308,1367
141486,Chaminade University of Honolulu,21.290274,-157.807642,13642624,14081144,2466
230852,Champlain College,44.47295,-73.204354,14613080,16244196,4006
111948,Chapman University,33.793678,-117.851481,273823000,301272000,8305
111966,Charles R Drew University of Medicine and Science,33.925658,-118.242791,76672000,83034400,533
217688,Charleston Southern University,32.981986,-80.069288,16932877,17124053,3621
444778,Charlotte Christian College and Theological Seminary,35.242999,-80.802527,,,122
211556,Chatham University,40.448432,-79.926083,84726717,83921042,2224
211583,Chestnut Hill College,40.087048,-75.228847,8692133,9284436,1951
144014,Chicago Theological Seminary,41.786056,-87.591249,21828360,23489246,253
198303,Chowan University,36.436258,-77.099141,25039057,25099979,1532
189981,Christ the King Seminary,42.772212,-78.656594,4325555,4834401,84
219833,Christian Brothers University,35.127437,-89.983241,31704414,33303938,1842
260947,Christian Life College,42.074096,-87.930934,,,45
150215,Christian Theological Seminary,39.833199,-86.177759,109495728,104316528,152
112127,Church Divinity School of the Pacific,37.876169,-122.261391,17562428,16397816,80
201858,Cincinnati Christian University,39.112396,-84.554752,4702042,4135935,883
201867,Cincinnati College of Mortuary Science,39.207578,-84.505896,491934,534539,100
244233,City College-Fort Lauderdale,26.18748,-80.17007,,,490
406547,City College-Gainesville,29.65601,-82.4168,,,383
434539,City College-Miami,25.683673,-80.316377,,,251
234915,City University of Seattle,47.61743,-122.344451,,,2347
457697,City Vision University,39.07043,-94.571091,,,106
217873,Claflin University,33.497367,-80.854368,24759035,25295126,1925
112251,Claremont Graduate University,34.103778,-117.712394,190098597,187162804,2136
488387,Claremont Lincoln University,,,,,
112260,Claremont McKenna College,34.102323,-117.706593,699493000,733871000,1349
124283,Claremont School of Theology,34.107602,-117.715256,11218611,17738400,291
138947,Clark Atlanta University,33.748772,-84.412818,66719772,66542152,3661
165334,Clark University,42.251064,-71.823537,392091757,403722249,3485
153126,Clarke University,42.508619,-90.691512,32859641,31302936,1075
211024,Clarks Summit University,41.496219,-75.683551,2100737,2109237,804
180832,Clarkson College,41.259201,-95.977188,2142532,2278455,1254
190044,Clarkson University,44.663761,-74.999947,192917861,186140355,3910
156417,Clear Creek Baptist Bible College,36.725236,-83.727702,16447210,17946856,151
169327,Cleary University,42.586573,-83.881516,1082005,1121679,545
202046,Cleveland Institute of Art,41.50988,-81.602121,27928585,27078601,606
202073,Cleveland Institute of Music,41.512444,-81.608878,38414130,38728399,432
177038,Cleveland University-Kansas City,38.932019,-94.679076,19943401,18778887,456
217891,Clinton College,34.913721,-81.043469,914929,919082,161
153144,Coe College,41.986383,-91.657535,97148763,92903821,1411
217907,Coker College,34.37709,-80.067713,28402745,27693301,1282
161086,Colby College,44.564211,-69.66337,740631000,745957000,1857
182634,Colby-Sawyer College,43.411663,-71.975805,38878181,38417755,1228
112446,Coleman University,32.821962,-117.136493,,,399
190080,Colgate Rochester Crozer Divinity School,43.131789,-77.598551,22874182,21984476,84
190099,Colgate University,42.8188,-75.535,865882401,892548824,2861
169442,College for Creative Studies,42.361839,-83.062352,63380452,58363783,1487
388520,College of Biblical Studies-Houston,29.716681,-95.506566,1443213,1444213,423
413617,College of Menominee Nation,44.858914,-88.627005,4078296,2993635,433
193399,College of Mount Saint Vincent,40.912814,-73.907019,13581080,17181154,1807
167394,College of Our Lady of the Elms,42.14179,-72.601541,7877993,8049948,1712
174747,College of Saint Benedict,45.558609,-94.31902,57320826,57787721,1943
186618,College of Saint Elizabeth,40.781061,-74.436039,19525920,19461065,1247
181604,College of Saint Mary,41.240879,-96.020209,10676353,14483882,1001
231077,College of St Joseph,43.599777,-73.007033,5719922,3083698,327
160959,College of the Atlantic,44.399584,-68.228849,49245282,50114731,348
166124,College of the Holy Cross,42.238942,-71.808627,726231559,721671407,2729
178697,College of the Ozarks,36.616019,-93.238174,427271668,442272293,1441
451705,CollegeAmerica-Cheyenne,41.175818,-104.827868,,,50
448752,CollegeAmerica-Colorado Springs,38.840858,-104.760241,,,275
126872,CollegeAmerica-Denver,39.691571,-104.94118,,,299
103945,CollegeAmerica-Flagstaff,35.194607,-111.65739,,,137
448761,CollegeAmerica-Fort Collins,40.568371,-105.092393,,,118
474890,CollegeAmerica-Phoenix,33.57415,-112.119891,,,632
126669,Colorado Christian University,39.711701,-105.094836,4086210,4097316,6879
126678,Colorado College,38.84657,-104.82422,656746175,687387738,2131
367839,Colorado Heights University,39.661853,-105.028197,,,130
177065,Columbia College,38.957899,-92.326544,119331420,151816014,14759
217934,Columbia College,34.062923,-81.001369,22812077,19417021,1484
144281,Columbia College Chicago,41.873589,-87.624554,140721915,131641189,8961
238573,Columbia College of Nursing,43.09824,-87.917831,,,154
112570,Columbia College-Hollywood,34.179596,-118.538394,,,326
217925,Columbia International University,34.081233,-81.069502,4508717,4590980,1001
139348,Columbia Theological Seminary,33.764108,-84.282978,207822446,201679333,189
190150,Columbia University in the City of New York,40.808286,-73.961885,9223047000,9639065000,28086
202170,Columbus College of Art and Design,39.965767,-82.988548,11477090,11733275,1140
459417,Compass College of Cinematic Arts,42.96182,-85.667021,,,116
177083,Conception Seminary College,40.24044,-94.682831,4821899,4572825,96
101073,Concordia College Alabama,32.42443,-87.023531,1476019,1494048,487
173300,Concordia College at Moorhead,46.859423,-96.765567,101650896,110992267,2177
190248,Concordia College-New York,40.94253,-73.82212,8889955,8941376,1156
177092,Concordia Seminary,38.63816,-90.312041,106003334,109791709,580
150288,Concordia Theological Seminary,41.139365,-85.109752,41872126,46122869,338
169363,Concordia University-Ann Arbor,42.274723,-83.682676,7093897,6986644,899
144351,Concordia University-Chicago,41.898574,-87.810009,22146857,21254284,5239
112075,Concordia University-Irvine,33.6535,-117.81063,17642781,19603873,4505
180984,Concordia University-Nebraska,40.914853,-97.089054,44461427,44962737,2457
208488,Concordia University-Portland,45.568242,-122.637944,7642173,7772178,7182
173328,Concordia University-Saint Paul,44.9502,-93.154971,28373350,28549030,4380
224004,Concordia University-Texas,30.420952,-97.836247,20285126,19909120,2559
238616,Concordia University-Wisconsin,43.254217,-87.916628,57642649,60749967,8268
128902,Connecticut College,41.379833,-72.107321,,,1922
217961,Converse College,34.956232,-81.918829,80222726,80983209,1148
165495,Conway School of Landscape Design,42.506313,-72.686919,,,24
184153,Cooper Health System Center for Allied Health Education,39.941522,-75.116469,,,20
190372,Cooper Union for the Advancement of Science and Art,40.72938,-73.990516,717628100,738487768,972
210331,Corban University,44.88408,-122.958413,2416859,3112748,1232
153162,Cornell College,41.925982,-91.425435,73773269,74517007,1037
190415,Cornell University,42.447199,-76.483489,4646133725,4760560410,21904
170037,Cornerstone University,42.979044,-85.595602,7293709,7431739,2572
235024,Cornish College of the Arts,47.617883,-122.33614,7553695,8137047,724
177117,Cottey College,37.836127,-94.371311,,,326
139393,Covenant College,34.963327,-85.37496,30808220,35879650,1102
177126,Covenant Theological Seminary,38.643066,-90.451323,25067659,24857172,535
176770,Cox College,37.225116,-93.290233,5914342,4876435,871
169424,Cranbrook Academy of Art,42.568716,-83.25124,45437681,45468191,152
181002,Creighton University,41.265325,-95.947029,439784000,449443000,8435
475608,Criswell College,32.79369,-96.778071,12305921,13082492,305
439613,Crossroads Bible College,39.779662,-86.039961,,,240
174206,Crossroads College,43.997064,-92.476297,166678,167503,96
106810,Crowley's Ridge College,36.066239,-90.58482,1315915,1324491,226
174862,Crown College,44.885372,-93.743015,7893706,7667075,1153
190503,Culinary Institute of America,41.746225,-73.931833,127511912,131235637,2859
177144,Culver-Stockton College,40.130064,-91.526682,22760864,21769961,1066
219949,Cumberland University,36.204243,-86.29966,11527400,11401995,1550
165529,Curry College,42.240616,-71.114007,90423929,96643252,2950
211893,Curtis Institute of Music,39.948491,-75.170127,122669065,128727907,174
190716,D'Youville College,42.902263,-78.890369,38649098,41042161,2909
190725,Daemen College,42.965024,-78.789025,10022595,12300284,2767
219091,Dakota Wesleyan University,43.695995,-98.030566,25566021,27188191,991
224226,Dallas Baptist University,32.710017,-96.947006,40073838,41836028,5319
224244,Dallas Christian College,32.913698,-96.887124,279968,273868,316
437732,Dallas Nursing Institute,32.9138,-96.734878,,,211
224305,Dallas Theological Seminary,32.7943,-96.779957,36744465,38810275,2132
182670,Dartmouth College,43.70408,-72.289951,4468219698,4663491080,6350
169479,Davenport University,42.849713,-85.529655,20627184,20475737,8142
198385,Davidson College,35.500006,-80.845236,647919787,681560020,1784
237358,Davis & Elkins College,38.928693,-79.846391,32545922,36252632,796
194569,Davis College,42.101092,-75.962421,1843988,1791819,390
165574,Dean College,42.08497,-71.399003,38472462,39728855,1363
202514,Defiance College,41.300336,-84.356596,14731517,14862708,751
211981,Delaware Valley University,40.29757,-75.158202,32764423,30634431,2266
113537,Dell'Arte International School of Physical Theatre,40.880871,-123.988878,,,38
202523,Denison University,40.072582,-82.520625,799108339,812299603,2254
126979,Denver Seminary,39.600595,-105.022363,11398366,13659454,929
144740,DePaul University,41.923332,-87.654116,447196000,438194000,23539
150400,DePauw University,39.63953,-86.863556,627746247,643786629,2265
154156,Des Moines University-Osteopathic Medical Center,41.583325,-93.661686,118987636,121536772,1603
210739,DeSales University,40.540137,-75.376549,66731840,69220981,3136
212009,Dickinson College,40.202796,-77.197854,396265465,415078785,2420
158802,Dillard University,29.996468,-90.065348,72007310,78643997,1185
445869,Divine Mercy University,38.855847,-77.05135,129955,129955,150
153241,Divine Word College,42.441572,-90.934917,24610656,24706897,81
181020,Doane University-Arts & Sciences,40.623107,-96.949656,116006451,112933697,1057
448284,Doane University-Graduate and Professional Studies,40.815541,-96.650758,,,1582
190761,Dominican College of Blauvelt,41.054111,-73.95234,1256479,1390170,2061
113704,Dominican School of Philosophy & Theology,37.881099,-122.264612,1183795,1158822,57
